file,model,dataset,accuracy,precision_macro,recall_macro,f1_macro,auc_macro,precision_class_1,recall_class_1,f1_class_1,auc_class_1,precision_class_2,recall_class_2,f1_class_2,auc_class_2,precision_class_3,recall_class_3,f1_class_3,auc_class_3,precision_class_4,recall_class_4,f1_class_4,auc_class_4
clusters-4-v1.csv,RF_leaf2_depth2,test,0.9074074074074074,0.9137633135683835,0.9101159033300439,0.9074356451203223,0.9957339364394205,0.8306451612903226,0.9626168224299065,0.8917748917748918,0.9957009345794393,0.9782608695652174,0.782608695652174,0.8695652173913043,0.9928267727335071,0.9504950495049505,0.9142857142857143,0.9320388349514563,0.9963594000291248,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9980486384156109
clusters-4-v1.csv,RF_leaf2_depth3,train,0.9503968253968254,0.9507827473118633,0.9502316341556385,0.9503962902895581,0.9945556037022079,0.9598393574297188,0.9446640316205533,0.952191235059761,0.9973405229955763,0.9581589958158996,0.9346938775510204,0.9462809917355371,0.9935111134886457,0.9201520912547528,0.9490196078431372,0.9343629343629344,0.9904564747545763,0.9649805447470817,0.9725490196078431,0.96875,0.9969143035700336
clusters-4-v1.csv,RF_leaf2_depth3,test,0.9537037037037037,0.9537298926049677,0.9542597859948531,0.9538373682116963,0.9976806168569459,0.9532710280373832,0.9532710280373832,0.9532710280373832,0.9976994967649173,0.963963963963964,0.9304347826086956,0.9469026548672567,0.9964888218351392,0.9357798165137615,0.9714285714285714,0.9532710280373832,0.9978593272171253,0.9619047619047619,0.9619047619047619,0.9619047619047619,0.9986748216106014
clusters-4-v1.csv,RF_leaf2_depth4,train,0.9543650793650794,0.9546665700136812,0.9542087190607469,0.9543504138791898,0.9966323551616654,0.9678714859437751,0.9525691699604744,0.9601593625498008,0.9980943904928932,0.9583333333333334,0.9387755102040817,0.9484536082474226,0.9961323454676758,0.9274809160305344,0.9529411764705882,0.9400386847195358,0.9943337760070828,0.9649805447470817,0.9725490196078431,0.96875,0.9979689086790093
clusters-4-v1.csv,RF_leaf2_depth4,test,0.9629629629629629,0.9629052485774184,0.9633250130608928,0.9630149241413084,0.9977023942679277,0.9716981132075472,0.9626168224299065,0.9671361502347418,0.9983033788641266,0.9732142857142857,0.9478260869565217,0.960352422907489,0.9949526813880125,0.9444444444444444,0.9714285714285714,0.9577464788732394,0.9984563856123491,0.9622641509433962,0.9714285714285714,0.966824644549763,0.999097131207223
clusters-4-v1.csv,RF_leaf2_depth5,train,0.9593253968253969,0.9594261530090408,0.9592139622647478,0.9592957547554937,0.9979289891835615,0.9682539682539683,0.9644268774703557,0.9663366336633663,0.9987802005078135,0.9586776859504132,0.9469387755102041,0.9527720739219713,0.9977478802792413,0.9382239382239382,0.9529411764705882,0.9455252918287937,0.9964013228133217,0.9725490196078431,0.9725490196078431,0.9725490196078431,0.9987865531338697
clusters-4-v1.csv,RF_leaf2_depth5,test,0.9675925925925926,0.9675283859305032,0.9678353747025019,0.967641904974038,0.9980840628003534,0.9719626168224299,0.9719626168224299,0.9719626168224299,0.9986196980589503,0.9734513274336283,0.9565217391304348,0.9649122807017544,0.9961047867233577,0.9532710280373832,0.9714285714285714,0.9622641509433962,0.9984272608125819,0.9714285714285714,0.9714285714285714,0.9714285714285714,0.9991845056065239
clusters-4-v1.csv,RF_leaf3_depth2,train,0.935515873015873,0.9370999660679311,0.9350287941263462,0.935230277809805,0.991137591805307,0.9201520912547528,0.9565217391304348,0.937984496124031,0.9949192471795409,0.9773755656108597,0.8816326530612245,0.927038626609442,0.9864605344103564,0.9182879377431906,0.9254901960784314,0.921875,0.9868161341561857,0.9325842696629213,0.9764705882352941,0.9540229885057471,0.9963544514751451
clusters-4-v1.csv,RF_leaf3_depth2,test,0.9074074074074074,0.9137633135683835,0.9101159033300439,0.9074356451203223,0.9957133631298607,0.8306451612903226,0.9626168224299065,0.8917748917748918,0.9957009345794392,0.9782608695652174,0.782608695652174,0.8695652173913043,0.9927444794952681,0.9504950495049505,0.9142857142857143,0.9320388349514563,0.9963594000291247,0.8956521739130435,0.9809523809523809,0.9363636363636364,0.9980486384156109
clusters-4-v1.csv,RF_leaf3_depth3,train,0.9494047619047619,0.9497504663377846,0.9492512419987758,0.9494039911421649,0.994549661201372,0.9598393574297188,0.9446640316205533,0.952191235059761,0.9973143470408083,0.9541666666666667,0.9346938775510204,0.9443298969072165,0.9936020541899591,0.9201520912547528,0.9490196078431372,0.9343629343629344,0.9903679400046871,0.96484375,0.9686274509803922,0.9667318982387475,0.9969143035700336
